gvkey,iid,datadate,cusip,conm,prccd,prchd,prcld,prcod
152729,01,2010/01/04,464286780,ISHARES MSCI S AFRICA ETF,57.9600,58.1200,57.1900,57.1900
152729,01,2010/01/05,464286780,ISHARES MSCI S AFRICA ETF,58.4300,58.6500,57.8400,57.8400
152729,01,2010/01/06,464286780,ISHARES MSCI S AFRICA ETF,58.4500,58.7300,57.8701,58.0000
152729,01,2010/01/07,464286780,ISHARES MSCI S AFRICA ETF,57.2700,57.7800,57.0200,57.5600
152729,01,2010/01/08,464286780,ISHARES MSCI S AFRICA ETF,58.0900,58.3200,57.4400,57.8200
152729,01,2010/01/11,464286780,ISHARES MSCI S AFRICA ETF,57.6900,58.3300,57.5200,58.2300
152729,01,2010/01/12,464286780,ISHARES MSCI S AFRICA ETF,56.5700,57.1800,55.9200,56.6900
152729,01,2010/01/13,464286780,ISHARES MSCI S AFRICA ETF,57.5500,57.7292,56.5400,57.5600
152729,01,2010/01/14,464286780,ISHARES MSCI S AFRICA ETF,57.0300,57.3500,56.4000,56.7700
152729,01,2010/01/15,464286780,ISHARES MSCI S AFRICA ETF,56.3000,56.8100,56.0800,56.8100
152729,01,2010/01/19,464286780,ISHARES MSCI S AFRICA ETF,57.0600,57.2300,55.9900,55.9900
152729,01,2010/01/20,464286780,ISHARES MSCI S AFRICA ETF,56.0800,56.3700,55.1800,56.3700
152729,01,2010/01/21,464286780,ISHARES MSCI S AFRICA ETF,53.9700,55.9800,53.9000,55.6000
152729,01,2010/01/22,464286780,ISHARES MSCI S AFRICA ETF,53.0500,54.3200,52.8400,53.2100
152729,01,2010/01/25,464286780,ISHARES MSCI S AFRICA ETF,53.9600,54.6095,53.5300,54.1300
152729,01,2010/01/26,464286780,ISHARES MSCI S AFRICA ETF,53.4000,54.0925,52.8300,52.8300
152729,01,2010/01/27,464286780,ISHARES MSCI S AFRICA ETF,53.2400,53.5200,52.4900,53.0700
152729,01,2010/01/28,464286780,ISHARES MSCI S AFRICA ETF,53.0500,54.2400,52.5000,53.8400
152729,01,2010/01/29,464286780,ISHARES MSCI S AFRICA ETF,52.6300,54.1500,52.3700,53.5100
152729,01,2010/02/01,464286780,ISHARES MSCI S AFRICA ETF,54.1700,54.3900,53.2200,53.2200
152729,01,2010/02/02,464286780,ISHARES MSCI S AFRICA ETF,55.3300,55.3300,54.4800,54.9100
152729,01,2010/02/03,464286780,ISHARES MSCI S AFRICA ETF,54.5200,55.2000,54.3500,55.1300
152729,01,2010/02/04,464286780,ISHARES MSCI S AFRICA ETF,51.8400,53.5600,51.7900,53.5600
152729,01,2010/02/05,464286780,ISHARES MSCI S AFRICA ETF,51.3100,51.7900,49.5800,51.4300
152729,01,2010/02/08,464286780,ISHARES MSCI S AFRICA ETF,51.0400,51.9000,50.9500,51.2200
152729,01,2010/02/09,464286780,ISHARES MSCI S AFRICA ETF,52.7700,53.4000,51.8300,52.0400
152729,01,2010/02/10,464286780,ISHARES MSCI S AFRICA ETF,51.9300,52.9200,51.5900,52.7000
152729,01,2010/02/11,464286780,ISHARES MSCI S AFRICA ETF,53.7900,53.9900,52.0900,52.5500
152729,01,2010/02/12,464286780,ISHARES MSCI S AFRICA ETF,52.6800,53.0000,51.7300,52.2500
152729,01,2010/02/16,464286780,ISHARES MSCI S AFRICA ETF,54.4000,54.4600,53.0800,53.2300
152729,01,2010/02/17,464286780,ISHARES MSCI S AFRICA ETF,54.3700,54.9200,54.0300,54.8300
152729,01,2010/02/18,464286780,ISHARES MSCI S AFRICA ETF,54.9300,55.0700,53.9400,54.2800
152729,01,2010/02/19,464286780,ISHARES MSCI S AFRICA ETF,54.1800,54.4600,53.5800,53.7900
