gvkey,iid,datadate,cusip,conm,prccd,prchd,prcld,prcod
035653,90,2019/10/10,09075V102,BIONTECH SE,14.2400,16.6985,13.0100,16.5000
035653,90,2019/10/11,09075V102,BIONTECH SE,13.8200,15.3400,13.5000,15.3400
035653,90,2019/10/14,09075V102,BIONTECH SE,12.7500,13.9100,12.5250,13.8300
035653,90,2019/10/15,09075V102,BIONTECH SE,12.9200,13.0000,12.5300,12.9900
035653,90,2019/10/16,09075V102,BIONTECH SE,12.9400,13.8800,12.6100,13.2000
035653,90,2019/10/17,09075V102,BIONTECH SE,13.0000,13.4800,12.6750,13.2400
035653,90,2019/10/18,09075V102,BIONTECH SE,14.1400,14.2499,13.3000,13.3000
035653,90,2019/10/21,09075V102,BIONTECH SE,16.2800,16.2800,14.8200,14.9400
035653,90,2019/10/22,09075V102,BIONTECH SE,20.6400,20.6400,17.0500,17.0500
035653,90,2019/10/23,09075V102,BIONTECH SE,17.6400,21.9900,16.7900,21.9500
035653,90,2019/10/24,09075V102,BIONTECH SE,18.8500,19.9999,17.1100,18.7300
035653,90,2019/10/25,09075V102,BIONTECH SE,17.5700,18.5000,16.7500,18.5000
035653,90,2019/10/28,09075V102,BIONTECH SE,16.4600,18.1800,16.4600,17.0800
035653,90,2019/10/29,09075V102,BIONTECH SE,17.0000,17.2853,16.6300,16.9200
035653,90,2019/10/30,09075V102,BIONTECH SE,16.7900,17.1899,16.4300,17.0000
035653,90,2019/10/31,09075V102,BIONTECH SE,16.8200,16.8200,16.3900,16.8000
035653,90,2019/11/01,09075V102,BIONTECH SE,16.5200,16.8000,16.1200,16.8000
035653,90,2019/11/04,09075V102,BIONTECH SE,18.9700,19.6799,17.0500,17.0500
035653,90,2019/11/05,09075V102,BIONTECH SE,18.4800,20.3900,18.2300,20.3900
035653,90,2019/11/06,09075V102,BIONTECH SE,17.3800,18.6600,17.0300,18.3900
035653,90,2019/11/07,09075V102,BIONTECH SE,18.4200,18.5800,17.3600,17.3600
035653,90,2019/11/08,09075V102,BIONTECH SE,18.8700,19.1400,18.3500,18.3500
035653,90,2019/11/11,09075V102,BIONTECH SE,19.7400,19.9800,19.0400,19.3600
035653,90,2019/11/12,09075V102,BIONTECH SE,17.6400,19.7100,17.0700,19.5000
035653,90,2019/11/13,09075V102,BIONTECH SE,18.5500,18.9200,17.8000,17.8000
035653,90,2019/11/14,09075V102,BIONTECH SE,19.0000,19.3700,18.6473,18.8600
035653,90,2019/11/15,09075V102,BIONTECH SE,19.2400,19.8000,19.0200,19.1000
035653,90,2019/11/18,09075V102,BIONTECH SE,19.7000,20.5000,19.1500,19.1500
035653,90,2019/11/19,09075V102,BIONTECH SE,20.3300,20.6900,19.5000,19.6400
035653,90,2019/11/20,09075V102,BIONTECH SE,20.3500,21.6700,19.9800,20.0000
035653,90,2019/11/21,09075V102,BIONTECH SE,19.6800,22.0000,18.6000,20.8000
035653,90,2019/11/22,09075V102,BIONTECH SE,21.3300,21.9800,20.0000,20.0000
035653,90,2019/11/25,09075V102,BIONTECH SE,20.7500,23.4000,20.3801,22.5500
035653,90,2019/11/26,09075V102,BIONTECH SE,21.3600,21.4500,20.4900,21.0300
035653,90,2019/11/27,09075V102,BIONTECH SE,21.8800,21.9800,21.1650,21.9200
035653,90,2019/11/29,09075V102,BIONTECH SE,21.9800,23.2146,21.8500,22.0000
035653,90,2019/12/02,09075V102,BIONTECH SE,21.8700,23.1300,21.0900,22.6600
035653,90,2019/12/03,09075V102,BIONTECH SE,20.7700,23.1500,20.7200,22.0500
035653,90,2019/12/04,09075V102,BIONTECH SE,21.3700,22.9600,21.0500,21.4900
035653,90,2019/12/05,09075V102,BIONTECH SE,22.4900,22.6700,21.3500,21.7500
035653,90,2019/12/06,09075V102,BIONTECH SE,24.3700,24.4700,22.6600,22.8500
035653,90,2019/12/09,09075V102,BIONTECH SE,29.0000,29.9700,25.0000,25.0000
035653,90,2019/12/10,09075V102,BIONTECH SE,28.0000,29.4900,27.2800,29.0000
035653,90,2019/12/11,09075V102,BIONTECH SE,31.3000,31.3000,28.6500,28.7000
035653,90,2019/12/12,09075V102,BIONTECH SE,29.8400,34.0000,28.9800,32.7000
035653,90,2019/12/13,09075V102,BIONTECH SE,32.4500,32.8500,30.7000,32.1500
035653,90,2019/12/16,09075V102,BIONTECH SE,35.0000,38.7500,34.6600,38.4400
035653,90,2019/12/17,09075V102,BIONTECH SE,36.9100,36.9184,34.8200,36.5100
035653,90,2019/12/18,09075V102,BIONTECH SE,35.0000,35.8200,33.1200,35.4800
035653,90,2019/12/19,09075V102,BIONTECH SE,29.3400,33.8700,27.7279,33.8700
035653,90,2019/12/20,09075V102,BIONTECH SE,34.9700,34.9700,31.8100,31.8100
035653,90,2019/12/23,09075V102,BIONTECH SE,34.7300,35.8999,33.1000,34.9100
035653,90,2019/12/24,09075V102,BIONTECH SE,33.4700,34.6100,33.0100,34.6100
035653,90,2019/12/26,09075V102,BIONTECH SE,33.2000,34.0000,31.5908,33.2900
035653,90,2019/12/27,09075V102,BIONTECH SE,32.5800,33.5800,32.0200,32.6100
035653,90,2019/12/30,09075V102,BIONTECH SE,34.9100,34.9100,33.0000,33.0000
035653,90,2019/12/31,09075V102,BIONTECH SE,33.8800,34.7585,33.6900,34.7100
035653,90,2020/01/02,09075V102,BIONTECH SE,38.5000,38.5000,35.3600,35.7500
035653,90,2020/01/03,09075V102,BIONTECH SE,40.0500,41.2501,36.4200,38.0000
035653,90,2020/01/06,09075V102,BIONTECH SE,44.5800,45.0000,40.1000,40.1100
035653,90,2020/01/07,09075V102,BIONTECH SE,43.3400,48.8500,41.1800,47.4000
035653,90,2020/01/08,09075V102,BIONTECH SE,45.1000,46.3300,44.1800,44.3000
035653,90,2020/01/09,09075V102,BIONTECH SE,43.2700,46.7100,42.7100,46.5500
