gvkey,iid,datadate,cusip,conm,prccd,prchd,prcld,prcod
163631,01,2010/01/04,922042866,VANGUARD FTSE PACIFIC ETF,52.8400,52.8400,52.1700,52.2500
163631,01,2010/01/05,922042866,VANGUARD FTSE PACIFIC ETF,53.0800,53.2650,52.8000,52.9300
163631,01,2010/01/06,922042866,VANGUARD FTSE PACIFIC ETF,53.3200,53.4600,53.0400,53.1200
163631,01,2010/01/07,922042866,VANGUARD FTSE PACIFIC ETF,52.9499,52.9900,52.6800,52.9400
163631,01,2010/01/08,922042866,VANGUARD FTSE PACIFIC ETF,53.5200,53.5200,53.0300,53.1700
163631,01,2010/01/11,922042866,VANGUARD FTSE PACIFIC ETF,53.8300,53.9900,53.6550,53.8400
163631,01,2010/01/12,922042866,VANGUARD FTSE PACIFIC ETF,53.6600,53.9800,53.4714,53.6900
163631,01,2010/01/13,922042866,VANGUARD FTSE PACIFIC ETF,53.9400,54.0100,53.4401,53.7300
163631,01,2010/01/14,922042866,VANGUARD FTSE PACIFIC ETF,54.6100,54.7200,54.1800,54.1800
163631,01,2010/01/15,922042866,VANGUARD FTSE PACIFIC ETF,54.3200,54.7400,53.9000,54.4400
163631,01,2010/01/19,922042866,VANGUARD FTSE PACIFIC ETF,54.6200,54.6300,54.0300,54.0900
163631,01,2010/01/20,922042866,VANGUARD FTSE PACIFIC ETF,53.1599,53.6200,52.7200,53.6200
163631,01,2010/01/21,922042866,VANGUARD FTSE PACIFIC ETF,52.6500,53.5700,52.5100,53.4300
163631,01,2010/01/22,922042866,VANGUARD FTSE PACIFIC ETF,52.0500,52.8980,51.9300,52.5700
163631,01,2010/01/25,922042866,VANGUARD FTSE PACIFIC ETF,52.5800,52.8200,52.3701,52.7300
163631,01,2010/01/26,922042866,VANGUARD FTSE PACIFIC ETF,51.9700,52.3600,51.7800,52.1200
163631,01,2010/01/27,922042866,VANGUARD FTSE PACIFIC ETF,51.6900,51.7600,51.0600,51.5600
163631,01,2010/01/28,922042866,VANGUARD FTSE PACIFIC ETF,51.1400,51.7900,50.8200,51.5900
163631,01,2010/01/29,922042866,VANGUARD FTSE PACIFIC ETF,50.3700,51.2300,50.2000,51.2100
163631,01,2010/02/01,922042866,VANGUARD FTSE PACIFIC ETF,51.1200,51.1200,50.6757,50.9500
163631,01,2010/02/02,922042866,VANGUARD FTSE PACIFIC ETF,51.8000,51.8740,51.2300,51.4900
163631,01,2010/02/03,922042866,VANGUARD FTSE PACIFIC ETF,51.3900,51.6000,51.1100,51.6000
163631,01,2010/02/04,922042866,VANGUARD FTSE PACIFIC ETF,49.9400,50.7300,49.7900,50.4300
163631,01,2010/02/05,922042866,VANGUARD FTSE PACIFIC ETF,49.8900,49.9600,49.0010,49.7600
163631,01,2010/02/08,922042866,VANGUARD FTSE PACIFIC ETF,49.4600,50.1324,49.4200,49.7800
163631,01,2010/02/09,922042866,VANGUARD FTSE PACIFIC ETF,50.4032,50.7700,49.9276,50.2300
163631,01,2010/02/10,922042866,VANGUARD FTSE PACIFIC ETF,50.3100,50.5100,49.7800,50.2800
163631,01,2010/02/11,922042866,VANGUARD FTSE PACIFIC ETF,50.8800,50.9410,50.1300,50.4100
163631,01,2010/02/12,922042866,VANGUARD FTSE PACIFIC ETF,50.4700,50.5600,50.0000,50.2200
163631,01,2010/02/16,922042866,VANGUARD FTSE PACIFIC ETF,51.3400,51.3900,50.6152,50.7800
163631,01,2010/02/17,922042866,VANGUARD FTSE PACIFIC ETF,51.5300,51.7400,51.4350,51.5100
