gvkey,iid,datadate,cusip,conm,prccd,prchd,prcld,prcod
165237,01,2010/01/04,922042874,VANGUARD FTSE EUROPE ETF,49.9600,50.1000,49.6900,49.6900
165237,01,2010/01/05,922042874,VANGUARD FTSE EUROPE ETF,49.8800,50.1900,49.6500,50.0500
165237,01,2010/01/06,922042874,VANGUARD FTSE EUROPE ETF,50.1800,50.1800,49.6900,49.8000
165237,01,2010/01/07,922042874,VANGUARD FTSE EUROPE ETF,49.8600,49.9400,49.5000,49.8100
165237,01,2010/01/08,922042874,VANGUARD FTSE EUROPE ETF,50.3600,50.4000,49.8400,49.9300
165237,01,2010/01/11,922042874,VANGUARD FTSE EUROPE ETF,50.7600,50.9200,50.4800,50.8900
165237,01,2010/01/12,922042874,VANGUARD FTSE EUROPE ETF,50.0200,50.2400,49.7800,49.9700
165237,01,2010/01/13,922042874,VANGUARD FTSE EUROPE ETF,50.7000,50.7000,49.9700,50.2400
165237,01,2010/01/14,922042874,VANGUARD FTSE EUROPE ETF,50.6000,50.7700,50.3100,50.4100
165237,01,2010/01/15,922042874,VANGUARD FTSE EUROPE ETF,49.5400,50.2800,49.4800,50.2500
165237,01,2010/01/19,922042874,VANGUARD FTSE EUROPE ETF,50.5700,50.5700,49.5200,49.6200
165237,01,2010/01/20,922042874,VANGUARD FTSE EUROPE ETF,49.0000,49.3600,48.6165,49.3400
165237,01,2010/01/21,922042874,VANGUARD FTSE EUROPE ETF,47.4800,48.9700,47.3000,48.9300
165237,01,2010/01/22,922042874,VANGUARD FTSE EUROPE ETF,46.4500,47.6000,46.4200,47.2900
165237,01,2010/01/25,922042874,VANGUARD FTSE EUROPE ETF,47.3000,47.6600,47.0800,47.5100
165237,01,2010/01/26,922042874,VANGUARD FTSE EUROPE ETF,46.9300,47.4400,46.7200,46.9000
165237,01,2010/01/27,922042874,VANGUARD FTSE EUROPE ETF,47.1200,47.1500,46.4800,46.8500
165237,01,2010/01/28,922042874,VANGUARD FTSE EUROPE ETF,45.9700,47.1100,45.7200,47.0700
165237,01,2010/01/29,922042874,VANGUARD FTSE EUROPE ETF,45.4400,46.5875,45.3938,46.2600
165237,01,2010/02/01,922042874,VANGUARD FTSE EUROPE ETF,46.5800,46.5881,46.1900,46.1900
165237,01,2010/02/02,922042874,VANGUARD FTSE EUROPE ETF,47.3000,47.3600,46.6520,46.8700
165237,01,2010/02/03,922042874,VANGUARD FTSE EUROPE ETF,46.7100,47.1500,46.5100,46.9800
165237,01,2010/02/04,922042874,VANGUARD FTSE EUROPE ETF,44.4200,45.8600,44.4200,45.7700
165237,01,2010/02/05,922042874,VANGUARD FTSE EUROPE ETF,44.0100,44.3100,42.8100,44.0800
165237,01,2010/02/08,922042874,VANGUARD FTSE EUROPE ETF,43.3700,44.1500,43.2500,43.7700
165237,01,2010/02/09,922042874,VANGUARD FTSE EUROPE ETF,45.1700,45.4000,43.9600,44.3900
165237,01,2010/02/10,922042874,VANGUARD FTSE EUROPE ETF,44.6500,44.8400,44.2000,44.7000
165237,01,2010/02/11,922042874,VANGUARD FTSE EUROPE ETF,45.0300,45.0500,43.9600,44.4000
165237,01,2010/02/12,922042874,VANGUARD FTSE EUROPE ETF,44.4200,44.5365,43.8300,44.0600
165237,01,2010/02/16,922042874,VANGUARD FTSE EUROPE ETF,45.5900,45.7400,44.5700,44.6100
165237,01,2010/02/17,922042874,VANGUARD FTSE EUROPE ETF,45.5400,45.9600,45.4500,45.8900
165237,01,2010/02/18,922042874,VANGUARD FTSE EUROPE ETF,45.9200,45.9500,45.4800,45.5000
165237,01,2010/02/19,922042874,VANGUARD FTSE EUROPE ETF,45.7200,45.7400,45.1200,45.2500
165237,01,2010/02/22,922042874,VANGUARD FTSE EUROPE ETF,45.6500,45.9400,45.5774,45.8800
165237,01,2010/02/23,922042874,VANGUARD FTSE EUROPE ETF,44.7400,45.6500,44.6200,45.3500
165237,01,2010/02/24,922042874,VANGUARD FTSE EUROPE ETF,45.2100,45.3900,44.7500,44.9500
165237,01,2010/02/25,922042874,VANGUARD FTSE EUROPE ETF,44.8400,44.8500,44.0000,44.1700
165237,01,2010/02/26,922042874,VANGUARD FTSE EUROPE ETF,45.1900,45.2900,44.3400,44.7000
165237,01,2010/03/01,922042874,VANGUARD FTSE EUROPE ETF,45.3300,45.3900,44.7800,45.0000
165237,01,2010/03/02,922042874,VANGUARD FTSE EUROPE ETF,45.8100,46.0600,45.4500,45.7600
165237,01,2010/03/03,922042874,VANGUARD FTSE EUROPE ETF,46.5000,46.7400,46.1600,46.2000
165237,01,2010/03/04,922042874,VANGUARD FTSE EUROPE ETF,46.3200,46.7400,46.1300,46.6500
165237,01,2010/03/05,922042874,VANGUARD FTSE EUROPE ETF,47.5500,47.5700,46.6200,46.6700
165237,01,2010/03/08,922042874,VANGUARD FTSE EUROPE ETF,47.4000,47.6200,47.2100,47.5200
165237,01,2010/03/09,922042874,VANGUARD FTSE EUROPE ETF,47.0800,47.3400,46.7900,46.8500
165237,01,2010/03/10,922042874,VANGUARD FTSE EUROPE ETF,47.5200,47.7300,47.1500,47.2100
165237,01,2010/03/11,922042874,VANGUARD FTSE EUROPE ETF,47.8000,47.8000,47.2200,47.4300
165237,01,2010/03/12,922042874,VANGUARD FTSE EUROPE ETF,47.9700,48.2000,47.7800,48.1200
165237,01,2010/03/15,922042874,VANGUARD FTSE EUROPE ETF,47.5100,47.7200,47.2100,47.6500
165237,01,2010/03/16,922042874,VANGUARD FTSE EUROPE ETF,48.3500,48.3800,47.6800,47.7900
165237,01,2010/03/17,922042874,VANGUARD FTSE EUROPE ETF,48.5700,48.8000,48.4800,48.5800
165237,01,2010/03/18,922042874,VANGUARD FTSE EUROPE ETF,48.1500,48.4800,47.8462,48.4600
165237,01,2010/03/19,922042874,VANGUARD FTSE EUROPE ETF,47.5100,48.1100,47.2800,48.0700
165237,01,2010/03/22,922042874,VANGUARD FTSE EUROPE ETF,47.6500,47.7000,46.7300,46.8100
165237,01,2010/03/23,922042874,VANGUARD FTSE EUROPE ETF,47.9000,47.9900,47.4700,47.6500
165237,01,2010/03/24,922042874,VANGUARD FTSE EUROPE ETF,46.9900,47.2500,46.8300,47.1200
165237,01,2010/03/25,922042874,VANGUARD FTSE EUROPE ETF,47.1500,47.8200,47.0900,47.6100
165237,01,2010/03/26,922042874,VANGUARD FTSE EUROPE ETF,47.6400,47.7900,47.3190,47.3800
165237,01,2010/03/29,922042874,VANGUARD FTSE EUROPE ETF,48.0400,48.0500,47.6500,47.7600
165237,01,2010/03/30,922042874,VANGUARD FTSE EUROPE ETF,47.7900,48.1800,47.6200,48.1800
165237,01,2010/03/31,922042874,VANGUARD FTSE EUROPE ETF,48.1300,48.3000,47.6900,47.8600
165237,01,2010/04/01,922042874,VANGUARD FTSE EUROPE ETF,49.0100,49.0500,48.6000,48.6000
165237,01,2010/04/05,922042874,VANGUARD FTSE EUROPE ETF,49.1500,49.2400,48.8000,48.9100
165237,01,2010/04/06,922042874,VANGUARD FTSE EUROPE ETF,48.8500,48.8800,48.3100,48.4800
165237,01,2010/04/07,922042874,VANGUARD FTSE EUROPE ETF,48.2300,48.5681,48.1200,48.5100
165237,01,2010/04/08,922042874,VANGUARD FTSE EUROPE ETF,48.1700,48.2300,47.5500,47.7200
165237,01,2010/04/09,922042874,VANGUARD FTSE EUROPE ETF,49.1100,49.1300,48.4300,48.4600
165237,01,2010/04/12,922042874,VANGUARD FTSE EUROPE ETF,49.4600,49.5500,49.3100,49.3600
165237,01,2010/04/13,922042874,VANGUARD FTSE EUROPE ETF,49.4300,49.5600,49.0200,49.5500
165237,01,2010/04/14,922042874,VANGUARD FTSE EUROPE ETF,50.0800,50.1700,49.6100,49.7900
165237,01,2010/04/15,922042874,VANGUARD FTSE EUROPE ETF,50.0400,50.1300,49.6800,49.7800
165237,01,2010/04/16,922042874,VANGUARD FTSE EUROPE ETF,48.8900,49.7300,48.6200,49.6100
165237,01,2010/04/19,922042874,VANGUARD FTSE EUROPE ETF,48.7100,48.8200,48.2000,48.2500
165237,01,2010/04/20,922042874,VANGUARD FTSE EUROPE ETF,49.2300,49.3000,49.0400,49.2300
165237,01,2010/04/21,922042874,VANGUARD FTSE EUROPE ETF,48.7000,48.9700,48.4500,48.8000
165237,01,2010/04/22,922042874,VANGUARD FTSE EUROPE ETF,48.1800,48.3250,47.6000,47.9300
165237,01,2010/04/23,922042874,VANGUARD FTSE EUROPE ETF,48.8000,48.8000,47.9920,48.1400
165237,01,2010/04/26,922042874,VANGUARD FTSE EUROPE ETF,48.6500,48.9300,48.6100,48.7500
165237,01,2010/04/27,922042874,VANGUARD FTSE EUROPE ETF,46.2300,48.2000,46.1900,47.7700
165237,01,2010/04/28,922042874,VANGUARD FTSE EUROPE ETF,46.0800,46.7200,45.6100,46.5800
165237,01,2010/04/29,922042874,VANGUARD FTSE EUROPE ETF,47.1200,47.1200,46.6700,46.8400
165237,01,2010/04/30,922042874,VANGUARD FTSE EUROPE ETF,46.3000,47.1300,46.2800,47.1300
165237,01,2010/05/03,922042874,VANGUARD FTSE EUROPE ETF,46.6400,46.8300,46.2700,46.4000
165237,01,2010/05/04,922042874,VANGUARD FTSE EUROPE ETF,44.6300,45.3700,44.4500,45.3600
165237,01,2010/05/05,922042874,VANGUARD FTSE EUROPE ETF,43.4700,44.1100,43.3000,43.4200
165237,01,2010/05/06,922042874,VANGUARD FTSE EUROPE ETF,41.1500,43.5400,39.4000,43.1500
165237,01,2010/05/07,922042874,VANGUARD FTSE EUROPE ETF,40.8700,42.0300,40.0600,41.5300
165237,01,2010/05/10,922042874,VANGUARD FTSE EUROPE ETF,44.3400,44.6600,43.7601,44.2100
165237,01,2010/05/11,922042874,VANGUARD FTSE EUROPE ETF,43.6000,44.3900,43.1800,43.2700
165237,01,2010/05/12,922042874,VANGUARD FTSE EUROPE ETF,44.3400,44.5522,43.9700,44.0600
165237,01,2010/05/13,922042874,VANGUARD FTSE EUROPE ETF,43.4100,44.1000,43.4000,43.8300
165237,01,2010/05/14,922042874,VANGUARD FTSE EUROPE ETF,41.9900,42.9100,41.5800,42.8300
165237,01,2010/05/17,922042874,VANGUARD FTSE EUROPE ETF,42.0900,42.3400,40.9500,42.1300
165237,01,2010/05/18,922042874,VANGUARD FTSE EUROPE ETF,41.1500,44.6100,40.8800,42.7600
165237,01,2010/05/19,922042874,VANGUARD FTSE EUROPE ETF,41.5300,41.6200,40.6500,41.2000
165237,01,2010/05/20,922042874,VANGUARD FTSE EUROPE ETF,40.1000,40.8000,39.4200,40.0800
165237,01,2010/05/21,922042874,VANGUARD FTSE EUROPE ETF,41.0600,41.2800,39.5000,39.6600
165237,01,2010/05/24,922042874,VANGUARD FTSE EUROPE ETF,39.9400,40.6800,39.9400,40.6200
165237,01,2010/05/25,922042874,VANGUARD FTSE EUROPE ETF,39.9200,39.9400,38.5000,38.7800
165237,01,2010/05/26,922042874,VANGUARD FTSE EUROPE ETF,39.1900,40.4100,39.1400,40.0000
165237,01,2010/05/27,922042874,VANGUARD FTSE EUROPE ETF,41.7600,41.9100,40.5900,40.6900
165237,01,2010/05/28,922042874,VANGUARD FTSE EUROPE ETF,40.8600,41.7768,40.8300,41.6400
