gvkey,iid,datadate,cusip,conm,prccd,prchd,prcld,prcod
153568,01,2010/01/04,464287234,ISHARES MSCI EMERG MKTS ETF,42.7100,42.7400,42.1600,42.1800
153568,01,2010/01/05,464287234,ISHARES MSCI EMERG MKTS ETF,43.0200,43.1700,42.7600,42.9100
153568,01,2010/01/06,464287234,ISHARES MSCI EMERG MKTS ETF,43.1100,43.2950,43.0100,43.0800
153568,01,2010/01/07,464287234,ISHARES MSCI EMERG MKTS ETF,42.8600,42.9800,42.6200,42.8500
153568,01,2010/01/08,464287234,ISHARES MSCI EMERG MKTS ETF,43.2000,43.2200,42.7400,42.8800
153568,01,2010/01/11,464287234,ISHARES MSCI EMERG MKTS ETF,43.1100,43.4700,42.9000,43.4500
153568,01,2010/01/12,464287234,ISHARES MSCI EMERG MKTS ETF,42.4200,42.7000,42.2000,42.6100
153568,01,2010/01/13,464287234,ISHARES MSCI EMERG MKTS ETF,42.5500,42.7000,42.1500,42.5900
153568,01,2010/01/14,464287234,ISHARES MSCI EMERG MKTS ETF,42.4400,42.6200,42.3700,42.5200
153568,01,2010/01/15,464287234,ISHARES MSCI EMERG MKTS ETF,41.9493,42.3796,41.8300,42.3200
153568,01,2010/01/19,464287234,ISHARES MSCI EMERG MKTS ETF,42.8000,42.8000,42.0700,42.0800
153568,01,2010/01/20,464287234,ISHARES MSCI EMERG MKTS ETF,41.7700,42.1100,41.4300,42.1100
153568,01,2010/01/21,464287234,ISHARES MSCI EMERG MKTS ETF,40.5075,41.6800,40.4800,41.5500
153568,01,2010/01/22,464287234,ISHARES MSCI EMERG MKTS ETF,39.6100,40.3500,39.5300,40.2199
153568,01,2010/01/25,464287234,ISHARES MSCI EMERG MKTS ETF,39.9000,40.3200,39.6650,40.1300
153568,01,2010/01/26,464287234,ISHARES MSCI EMERG MKTS ETF,39.0700,39.6000,35.8100,39.1300
153568,01,2010/01/27,464287234,ISHARES MSCI EMERG MKTS ETF,38.9700,39.1167,38.3800,38.7900
153568,01,2010/01/28,464287234,ISHARES MSCI EMERG MKTS ETF,38.7000,39.4800,38.3600,39.3200
153568,01,2010/01/29,464287234,ISHARES MSCI EMERG MKTS ETF,38.2800,39.2600,38.0800,39.1500
153568,01,2010/02/01,464287234,ISHARES MSCI EMERG MKTS ETF,39.3100,39.3500,38.6100,38.6400
153568,01,2010/02/02,464287234,ISHARES MSCI EMERG MKTS ETF,39.6300,39.7100,39.0200,39.3900
153568,01,2010/02/03,464287234,ISHARES MSCI EMERG MKTS ETF,39.4000,39.8201,39.2700,39.6400
153568,01,2010/02/04,464287234,ISHARES MSCI EMERG MKTS ETF,37.6200,38.8000,37.6000,38.7500
153568,01,2010/02/05,464287234,ISHARES MSCI EMERG MKTS ETF,37.2000,37.4000,36.1800,37.2900
