gvkey,iid,datadate,cusip,conm,prccd,prchd,prcld,prcod
177301,01,2010/01/04,92189F403,VANECK RUSSIA ETF,32.5800,32.6100,31.9400,31.9900
177301,01,2010/01/05,92189F403,VANECK RUSSIA ETF,33.2600,33.3200,32.8400,32.8500
177301,01,2010/01/06,92189F403,VANECK RUSSIA ETF,33.2300,33.5200,32.9400,33.1600
177301,01,2010/01/07,92189F403,VANECK RUSSIA ETF,33.2000,33.4000,33.0500,33.1000
177301,01,2010/01/08,92189F403,VANECK RUSSIA ETF,33.3400,33.4900,33.0600,33.2000
177301,01,2010/01/11,92189F403,VANECK RUSSIA ETF,33.8000,34.1300,33.7150,34.0300
177301,01,2010/01/12,92189F403,VANECK RUSSIA ETF,33.0700,33.3800,32.8400,33.2600
177301,01,2010/01/13,92189F403,VANECK RUSSIA ETF,33.7600,33.8600,33.3300,33.5900
177301,01,2010/01/14,92189F403,VANECK RUSSIA ETF,34.1700,34.3600,33.8400,33.9800
177301,01,2010/01/15,92189F403,VANECK RUSSIA ETF,33.8100,34.3400,33.5800,34.0800
177301,01,2010/01/19,92189F403,VANECK RUSSIA ETF,34.7700,34.8700,34.0700,34.1300
177301,01,2010/01/20,92189F403,VANECK RUSSIA ETF,33.8400,34.1600,33.5400,34.1100
177301,01,2010/01/21,92189F403,VANECK RUSSIA ETF,32.5600,33.6400,32.5500,33.6000
177301,01,2010/01/22,92189F403,VANECK RUSSIA ETF,31.5000,32.3000,31.5000,32.0800
177301,01,2010/01/25,92189F403,VANECK RUSSIA ETF,31.8500,32.4000,31.7900,32.4000
177301,01,2010/01/26,92189F403,VANECK RUSSIA ETF,31.3400,31.6100,30.9200,31.0800
177301,01,2010/01/27,92189F403,VANECK RUSSIA ETF,31.2100,31.5700,30.7201,31.3000
177301,01,2010/01/28,92189F403,VANECK RUSSIA ETF,31.2600,31.9500,30.9700,31.8400
177301,01,2010/01/29,92189F403,VANECK RUSSIA ETF,31.0800,31.8100,30.9500,31.5000
177301,01,2010/02/01,92189F403,VANECK RUSSIA ETF,32.0800,32.0800,31.1316,31.3000
177301,01,2010/02/02,92189F403,VANECK RUSSIA ETF,32.7400,32.7400,32.0600,32.1200
177301,01,2010/02/03,92189F403,VANECK RUSSIA ETF,32.4000,32.8600,32.3100,32.7000
177301,01,2010/02/04,92189F403,VANECK RUSSIA ETF,30.3500,31.6300,30.2500,31.6300
177301,01,2010/02/05,92189F403,VANECK RUSSIA ETF,29.6700,30.3500,28.6800,30.0100
177301,01,2010/02/08,92189F403,VANECK RUSSIA ETF,28.9400,29.5250,28.8800,29.3000
177301,01,2010/02/09,92189F403,VANECK RUSSIA ETF,30.0200,30.3600,29.4400,29.7000
177301,01,2010/02/10,92189F403,VANECK RUSSIA ETF,29.9100,30.3000,29.4800,30.1100
177301,01,2010/02/11,92189F403,VANECK RUSSIA ETF,30.6300,30.7700,29.8250,30.0700
177301,01,2010/02/12,92189F403,VANECK RUSSIA ETF,30.2400,30.2400,29.3700,29.5500
177301,01,2010/02/16,92189F403,VANECK RUSSIA ETF,31.5200,31.5300,30.7900,30.8700
177301,01,2010/02/17,92189F403,VANECK RUSSIA ETF,31.3300,31.5600,31.0450,31.5600
177301,01,2010/02/18,92189F403,VANECK RUSSIA ETF,31.3800,31.4200,30.7000,30.7500
177301,01,2010/02/19,92189F403,VANECK RUSSIA ETF,31.4600,31.6500,31.0500,31.1000
177301,01,2010/02/22,92189F403,VANECK RUSSIA ETF,31.4900,31.7600,31.4300,31.7100
177301,01,2010/02/23,92189F403,VANECK RUSSIA ETF,30.5000,31.2200,30.2300,31.1600
177301,01,2010/02/24,92189F403,VANECK RUSSIA ETF,30.8700,30.9700,30.5100,30.7800
177301,01,2010/02/25,92189F403,VANECK RUSSIA ETF,30.2200,30.3100,29.6400,29.7510
177301,01,2010/02/26,92189F403,VANECK RUSSIA ETF,30.8300,30.8800,30.2200,30.3900
177301,01,2010/03/01,92189F403,VANECK RUSSIA ETF,31.5600,31.6900,31.1600,31.1700
177301,01,2010/03/02,92189F403,VANECK RUSSIA ETF,31.9000,32.1400,31.7500,31.8700
177301,01,2010/03/03,92189F403,VANECK RUSSIA ETF,32.1800,32.5000,31.9800,32.1100
177301,01,2010/03/04,92189F403,VANECK RUSSIA ETF,32.2600,32.5300,32.0900,32.3000
177301,01,2010/03/05,92189F403,VANECK RUSSIA ETF,33.0600,33.1400,32.6700,32.7100
177301,01,2010/03/08,92189F403,VANECK RUSSIA ETF,33.0500,33.2750,33.0300,33.1600
177301,01,2010/03/09,92189F403,VANECK RUSSIA ETF,33.2000,33.3750,32.6200,32.7100
177301,01,2010/03/10,92189F403,VANECK RUSSIA ETF,33.0000,33.1700,32.8600,32.9700
177301,01,2010/03/11,92189F403,VANECK RUSSIA ETF,33.1900,33.2300,32.8595,32.9800
177301,01,2010/03/12,92189F403,VANECK RUSSIA ETF,33.3300,33.6800,33.2000,33.6100
177301,01,2010/03/15,92189F403,VANECK RUSSIA ETF,32.9500,33.3400,32.8000,33.3000
177301,01,2010/03/16,92189F403,VANECK RUSSIA ETF,33.5500,33.6700,33.0500,33.1600
177301,01,2010/03/17,92189F403,VANECK RUSSIA ETF,33.8600,34.0000,33.6900,33.9000
177301,01,2010/03/18,92189F403,VANECK RUSSIA ETF,33.3900,33.9500,33.3000,33.8600
177301,01,2010/03/19,92189F403,VANECK RUSSIA ETF,33.2900,33.6000,33.0000,33.5700
177301,01,2010/03/22,92189F403,VANECK RUSSIA ETF,33.0500,33.0800,32.5400,32.6000
177301,01,2010/03/23,92189F403,VANECK RUSSIA ETF,33.1600,33.2000,32.7775,32.9400
177301,01,2010/03/24,92189F403,VANECK RUSSIA ETF,32.4800,32.8500,32.4600,32.7200
177301,01,2010/03/25,92189F403,VANECK RUSSIA ETF,32.5900,33.1500,32.5600,32.8200
177301,01,2010/03/26,92189F403,VANECK RUSSIA ETF,33.2500,33.4400,33.0000,33.1500
177301,01,2010/03/29,92189F403,VANECK RUSSIA ETF,34.1700,34.2400,33.6950,33.7900
177301,01,2010/03/30,92189F403,VANECK RUSSIA ETF,34.1300,34.1600,33.7200,34.1000
177301,01,2010/03/31,92189F403,VANECK RUSSIA ETF,34.3500,34.3700,34.1000,34.2000
177301,01,2010/04/01,92189F403,VANECK RUSSIA ETF,35.1800,35.3200,34.7700,34.8000
177301,01,2010/04/05,92189F403,VANECK RUSSIA ETF,35.6100,35.7700,35.3800,35.4300
177301,01,2010/04/06,92189F403,VANECK RUSSIA ETF,35.7100,35.9200,35.4500,35.4900
177301,01,2010/04/07,92189F403,VANECK RUSSIA ETF,35.0700,35.3900,34.9100,35.2500
177301,01,2010/04/08,92189F403,VANECK RUSSIA ETF,35.3600,35.4300,34.6600,34.8500
177301,01,2010/04/09,92189F403,VANECK RUSSIA ETF,35.8900,35.9100,35.5900,35.7400
177301,01,2010/04/12,92189F403,VANECK RUSSIA ETF,35.8400,36.0700,35.8199,36.0000
177301,01,2010/04/13,92189F403,VANECK RUSSIA ETF,36.0100,36.0500,35.5300,35.9300
177301,01,2010/04/14,92189F403,VANECK RUSSIA ETF,36.8100,36.9050,36.4000,36.5700
177301,01,2010/04/15,92189F403,VANECK RUSSIA ETF,36.4400,36.7050,36.4000,36.4700
177301,01,2010/04/16,92189F403,VANECK RUSSIA ETF,35.2300,36.0600,35.0000,35.9000
177301,01,2010/04/19,92189F403,VANECK RUSSIA ETF,34.8700,34.9700,34.3800,34.4700
177301,01,2010/04/20,92189F403,VANECK RUSSIA ETF,35.3400,35.4500,35.0750,35.3600
177301,01,2010/04/21,92189F403,VANECK RUSSIA ETF,35.2400,35.2400,34.8200,35.1200
177301,01,2010/04/22,92189F403,VANECK RUSSIA ETF,34.8500,34.9100,34.1800,34.5100
177301,01,2010/04/23,92189F403,VANECK RUSSIA ETF,35.4200,35.5300,34.6700,34.8200
177301,01,2010/04/26,92189F403,VANECK RUSSIA ETF,35.4000,35.6500,35.3400,35.3500
177301,01,2010/04/27,92189F403,VANECK RUSSIA ETF,33.9800,34.8800,33.7700,34.7510
177301,01,2010/04/28,92189F403,VANECK RUSSIA ETF,34.1100,34.3700,33.6200,34.2700
177301,01,2010/04/29,92189F403,VANECK RUSSIA ETF,34.6000,34.7100,34.4200,34.4200
177301,01,2010/04/30,92189F403,VANECK RUSSIA ETF,33.9100,34.4900,33.8700,34.4500
177301,01,2010/05/03,92189F403,VANECK RUSSIA ETF,34.2400,34.3600,33.8300,34.0600
177301,01,2010/05/04,92189F403,VANECK RUSSIA ETF,32.3450,33.4100,32.2150,33.4100
177301,01,2010/05/05,92189F403,VANECK RUSSIA ETF,31.2400,31.7595,30.8300,31.3300
177301,01,2010/05/06,92189F403,VANECK RUSSIA ETF,29.5500,31.2150,27.9600,30.9100
177301,01,2010/05/07,92189F403,VANECK RUSSIA ETF,28.6600,29.6000,28.1000,29.2800
177301,01,2010/05/10,92189F403,VANECK RUSSIA ETF,31.7125,31.7400,31.3500,31.6900
177301,01,2010/05/11,92189F403,VANECK RUSSIA ETF,30.6200,31.1300,30.3000,30.4200
177301,01,2010/05/12,92189F403,VANECK RUSSIA ETF,32.2900,32.3100,31.7300,31.7600
177301,01,2010/05/13,92189F403,VANECK RUSSIA ETF,31.6800,32.2200,31.5500,31.8200
177301,01,2010/05/14,92189F403,VANECK RUSSIA ETF,30.8100,31.2900,30.3600,31.2600
177301,01,2010/05/17,92189F403,VANECK RUSSIA ETF,30.7300,30.9100,29.9099,30.6900
177301,01,2010/05/18,92189F403,VANECK RUSSIA ETF,30.2200,31.3200,30.0900,31.1500
177301,01,2010/05/19,92189F403,VANECK RUSSIA ETF,29.7300,29.9300,29.1000,29.6900
