gvkey,iid,datadate,cusip,conm,prccd,prchd,prcld,prcod
026191,01,2015/09/17,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.7300,25.7300,25.3700,25.3700
026191,01,2015/09/18,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.1800,25.2399,25.1800,25.2200
026191,01,2015/09/21,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.2500,25.2600,25.2300,25.2500
026191,01,2015/09/22,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.0000,25.0000,25.0000,25.0000
026191,01,2015/09/23,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.8700,25.1000,24.8500,25.1000
026191,01,2015/09/24,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.8700,24.8000,24.7500,
026191,01,2015/09/25,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.8800,24.9100,24.8800,24.8850
026191,01,2015/09/28,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.4101,24.4500,24.4101,24.4500
026191,01,2015/09/29,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.0000,25.0000,24.8500,24.9500
026191,01,2015/09/30,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.2200,25.2400,25.1600,25.1600
026191,01,2015/10/01,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.0000,25.1600,24.9200,25.1500
026191,01,2015/10/02,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.3400,25.3400,24.8900,24.8900
026191,01,2015/10/05,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.5399,25.5500,25.4524,25.4600
026191,01,2015/10/06,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.5900,25.7000,25.4500,25.4500
026191,01,2015/10/07,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.9400,25.9400,25.9400,25.9400
026191,01,2015/10/08,46434V423,ISHARES MSCI SAUDI ARBIA ETF,26.6700,26.6700,26.2900,26.3500
026191,01,2015/10/09,46434V423,ISHARES MSCI SAUDI ARBIA ETF,26.5100,26.6000,26.5100,26.5850
026191,01,2015/10/12,46434V423,ISHARES MSCI SAUDI ARBIA ETF,26.4200,26.7300,26.4200,26.7300
026191,01,2015/10/13,46434V423,ISHARES MSCI SAUDI ARBIA ETF,26.7700,26.7700,26.7700,26.7700
026191,01,2015/10/14,46434V423,ISHARES MSCI SAUDI ARBIA ETF,26.6600,26.6600,26.5800,26.5800
026191,01,2015/10/15,46434V423,ISHARES MSCI SAUDI ARBIA ETF,26.4900,26.4900,26.3200,26.3700
026191,01,2015/10/16,46434V423,ISHARES MSCI SAUDI ARBIA ETF,26.4940,26.4940,26.4300,26.4300
026191,01,2015/10/19,46434V423,ISHARES MSCI SAUDI ARBIA ETF,26.6900,26.6900,26.6900,26.6900
026191,01,2015/10/20,46434V423,ISHARES MSCI SAUDI ARBIA ETF,26.6400,26.6700,26.6099,26.6099
026191,01,2015/10/21,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.6300,25.6530,25.6300,25.6400
026191,01,2015/10/22,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.4760,25.6300,25.4600,25.5200
026191,01,2015/10/23,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.6699,25.7100,25.5700,25.6400
026191,01,2015/10/26,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.2700,25.2700,25.2700,25.2700
026191,01,2015/10/27,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.6200,24.8000,24.6200,24.8000
026191,01,2015/10/28,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.9994,25.0000,24.9994,25.0000
026191,01,2015/10/29,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.1000,25.1000,25.1000,25.1000
026191,01,2015/10/30,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.9600,24.9600,24.9600,24.9600
026191,01,2015/11/02,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.9600,24.6800,24.6400,
026191,01,2015/11/03,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.4000,24.4000,24.2800,24.2800
026191,01,2015/11/04,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.2100,24.2300,24.2100,24.2300
026191,01,2015/11/05,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.2100,24.1400,24.0800,
026191,01,2015/11/06,46434V423,ISHARES MSCI SAUDI ARBIA ETF,23.8500,23.8500,23.8500,23.8500
026191,01,2015/11/09,46434V423,ISHARES MSCI SAUDI ARBIA ETF,23.8500,24.1000,24.0400,
026191,01,2015/11/10,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.1700,24.1700,24.1700,24.1700
026191,01,2015/11/11,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.7900,24.7900,24.7900,24.7900
026191,01,2015/11/12,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.7900,24.4400,24.4000,
026191,01,2015/11/13,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.4000,24.4000,24.4000,24.4000
026191,01,2015/11/16,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.4000,24.3900,24.3400,
026191,01,2015/11/17,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.1900,24.1900,24.1900,24.1900
026191,01,2015/11/18,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.1900,24.5600,24.5100,
026191,01,2015/11/19,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.1900,24.7800,24.7300,
026191,01,2015/11/20,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.1900,24.8600,24.8100,
026191,01,2015/11/23,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.1900,25.1400,25.0900,
026191,01,2015/11/24,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.1900,25.4600,25.3900,
026191,01,2015/11/25,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.1900,25.4700,25.4200,
026191,01,2015/11/27,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.1900,25.0100,24.9500,
026191,01,2015/11/30,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.1900,25.3700,25.3200,
026191,01,2015/12/01,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.1900,25.5800,25.5300,
026191,01,2015/12/02,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.1900,25.6400,25.5900,
026191,01,2015/12/03,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.2100,25.2900,25.2100,25.2900
026191,01,2015/12/04,46434V423,ISHARES MSCI SAUDI ARBIA ETF,25.3690,25.3690,25.2500,25.2500
026191,01,2015/12/07,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.9500,24.9500,24.9500,24.9500
026191,01,2015/12/08,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.4800,24.4800,24.4800,24.4800
026191,01,2015/12/09,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.5300,24.5400,24.5300,24.5400
026191,01,2015/12/10,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.5900,24.5900,24.4700,24.4700
026191,01,2015/12/11,46434V423,ISHARES MSCI SAUDI ARBIA ETF,23.9899,24.1300,23.9899,24.0900
026191,01,2015/12/14,46434V423,ISHARES MSCI SAUDI ARBIA ETF,23.7900,23.7950,23.7900,23.7950
026191,01,2015/12/15,46434V423,ISHARES MSCI SAUDI ARBIA ETF,23.7900,23.8800,23.8100,
026191,01,2015/12/16,46434V423,ISHARES MSCI SAUDI ARBIA ETF,23.7900,24.2400,24.1800,
026191,01,2015/12/17,46434V423,ISHARES MSCI SAUDI ARBIA ETF,23.7900,24.6000,24.5500,
026191,01,2015/12/18,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.4600,24.6600,24.4600,24.6600
026191,01,2015/12/21,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.4600,24.3900,24.3300,
026191,01,2015/12/22,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.4600,24.7600,24.7000,
026191,01,2015/12/23,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.3000,24.3000,24.2999,24.2999
026191,01,2015/12/24,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.3000,24.1700,24.1000,
026191,01,2015/12/28,46434V423,ISHARES MSCI SAUDI ARBIA ETF,24.6200,24.6200,24.4400,24.4900
