gvkey,iid,datadate,cusip,conm,prccd,prchd,prcld,prcod
108132,01,20100104,78462F103,SPDR S&P 500 ETF TRUST,113.3300,113.3900,111.5100,112.3700
108132,01,20100105,78462F103,SPDR S&P 500 ETF TRUST,113.6300,113.6800,112.8500,113.2600
108132,01,20100106,78462F103,SPDR S&P 500 ETF TRUST,113.7100,113.9900,113.4300,113.5200
108132,01,20100107,78462F103,SPDR S&P 500 ETF TRUST,114.1900,114.3300,113.1800,113.5000
108132,01,20100108,78462F103,SPDR S&P 500 ETF TRUST,114.5700,114.6200,113.6600,113.8900
108132,01,20100111,78462F103,SPDR S&P 500 ETF TRUST,114.7300,115.1300,114.2350,115.0800
108132,01,20100112,78462F103,SPDR S&P 500 ETF TRUST,113.6600,114.2100,113.2200,113.9700
108132,01,20100113,78462F103,SPDR S&P 500 ETF TRUST,114.6200,114.9400,113.3700,113.9500
108132,01,20100114,78462F103,SPDR S&P 500 ETF TRUST,114.9300,115.1400,114.4200,114.4900
108132,01,20100115,78462F103,SPDR S&P 500 ETF TRUST,113.6400,114.8400,113.2000,114.7300
108132,01,20100119,78462F103,SPDR S&P 500 ETF TRUST,115.0600,115.1300,113.5900,113.6200
108132,01,20100120,78462F103,SPDR S&P 500 ETF TRUST,113.8900,114.4500,112.9800,114.2800
108132,01,20100121,78462F103,SPDR S&P 500 ETF TRUST,111.7000,114.2700,111.5600,113.9200
108132,01,20100122,78462F103,SPDR S&P 500 ETF TRUST,109.2100,111.7416,109.0900,111.2000
108132,01,20100125,78462F103,SPDR S&P 500 ETF TRUST,109.7700,110.4100,109.4100,110.2100
108132,01,20100126,78462F103,SPDR S&P 500 ETF TRUST,109.3100,110.4700,109.0400,109.3400
108132,01,20100127,78462F103,SPDR S&P 500 ETF TRUST,109.8300,110.0800,108.3300,109.1700
108132,01,20100128,78462F103,SPDR S&P 500 ETF TRUST,108.5700,110.2500,107.9100,110.1900
108132,01,20100129,78462F103,SPDR S&P 500 ETF TRUST,107.3900,109.8000,107.2200,109.0400
108132,01,20100201,78462F103,SPDR S&P 500 ETF TRUST,109.0600,109.0700,107.5008,108.1500
108132,01,20100202,78462F103,SPDR S&P 500 ETF TRUST,110.3800,110.5900,108.8800,109.2600
108132,01,20100203,78462F103,SPDR S&P 500 ETF TRUST,109.8300,110.4815,109.5100,109.8800
108132,01,20100204,78462F103,SPDR S&P 500 ETF TRUST,106.4400,109.0300,106.4200,108.9800
108132,01,20100205,78462F103,SPDR S&P 500 ETF TRUST,106.6600,106.8800,104.5800,106.5600
108132,01,20100208,78462F103,SPDR S&P 500 ETF TRUST,105.8900,107.3300,105.8099,106.7400
108132,01,20100209,78462F103,SPDR S&P 500 ETF TRUST,107.2200,108.1500,106.2700,107.1300
108132,01,20100210,78462F103,SPDR S&P 500 ETF TRUST,107.0100,107.6000,106.1100,107.0500
108132,01,20100211,78462F103,SPDR S&P 500 ETF TRUST,108.1300,108.2500,106.2500,106.8700
108132,01,20100212,78462F103,SPDR S&P 500 ETF TRUST,108.0400,108.1012,106.5100,106.9900
108132,01,20100216,78462F103,SPDR S&P 500 ETF TRUST,109.7400,109.8500,107.8210,108.8600
108132,01,20100217,78462F103,SPDR S&P 500 ETF TRUST,110.2600,110.4100,109.7400,110.2700
108132,01,20100218,78462F103,SPDR S&P 500 ETF TRUST,110.9100,111.1400,110.0350,110.0800
108132,01,20100219,78462F103,SPDR S&P 500 ETF TRUST,111.1400,111.5700,110.3600,110.6200
108132,01,20100222,78462F103,SPDR S&P 500 ETF TRUST,111.1600,111.5800,110.8300,111.5500
108132,01,20100223,78462F103,SPDR S&P 500 ETF TRUST,109.8100,111.2000,109.5200,110.8600
108132,01,20100224,78462F103,SPDR S&P 500 ETF TRUST,110.8200,111.0000,109.8600,110.1400
108132,01,20100225,78462F103,SPDR S&P 500 ETF TRUST,110.6700,110.7500,108.9400,109.2400
108132,01,20100226,78462F103,SPDR S&P 500 ETF TRUST,110.7400,111.1200,110.1100,110.7700
108132,01,20100301,78462F103,SPDR S&P 500 ETF TRUST,111.8900,112.0000,111.1700,111.2000
108132,01,20100302,78462F103,SPDR S&P 500 ETF TRUST,112.2000,112.7400,112.0000,112.3700
108132,01,20100303,78462F103,SPDR S&P 500 ETF TRUST,112.3000,112.9700,112.0200,112.4900
108132,01,20100304,78462F103,SPDR S&P 500 ETF TRUST,112.6410,112.8000,112.0300,112.4500
108132,01,20100305,78462F103,SPDR S&P 500 ETF TRUST,114.2500,114.3400,113.1000,113.3700
108132,01,20100308,78462F103,SPDR S&P 500 ETF TRUST,114.2700,114.5200,114.0700,114.2600
108132,01,20100309,78462F103,SPDR S&P 500 ETF TRUST,114.4600,114.9900,113.8700,113.9300
108132,01,20100310,78462F103,SPDR S&P 500 ETF TRUST,114.9700,115.2750,114.4100,114.5100
108132,01,20100311,78462F103,SPDR S&P 500 ETF TRUST,115.4500,115.4800,114.3500,114.7000
108132,01,20100312,78462F103,SPDR S&P 500 ETF TRUST,115.4600,115.9700,115.1400,115.9500
108132,01,20100315,78462F103,SPDR S&P 500 ETF TRUST,115.4900,115.5750,114.6000,115.2600
108132,01,20100316,78462F103,SPDR S&P 500 ETF TRUST,116.4100,116.5200,115.4900,115.8100
108132,01,20100317,78462F103,SPDR S&P 500 ETF TRUST,117.1000,117.4800,116.4198,116.7600
108132,01,20100318,78462F103,SPDR S&P 500 ETF TRUST,117.0375,117.2700,116.5700,117.1100
108132,01,20100319,78462F103,SPDR S&P 500 ETF TRUST,115.9700,117.2930,115.5200,116.9600
108132,01,20100322,78462F103,SPDR S&P 500 ETF TRUST,116.5925,116.8000,115.2400,115.3100
108132,01,20100323,78462F103,SPDR S&P 500 ETF TRUST,117.4100,117.5100,116.3800,116.7600
108132,01,20100324,78462F103,SPDR S&P 500 ETF TRUST,116.8400,117.4264,115.5800,116.9700
108132,01,20100325,78462F103,SPDR S&P 500 ETF TRUST,116.6500,118.1666,116.5100,117.6300
108132,01,20100326,78462F103,SPDR S&P 500 ETF TRUST,116.5820,117.4200,116.1200,116.8700
108132,01,20100329,78462F103,SPDR S&P 500 ETF TRUST,117.3200,117.5300,116.6886,117.1699
108132,01,20100330,78462F103,SPDR S&P 500 ETF TRUST,117.4000,117.8300,116.9100,117.4600
108132,01,20100331,78462F103,SPDR S&P 500 ETF TRUST,117.0000,117.5200,116.6100,116.9500
108132,01,20100401,78462F103,SPDR S&P 500 ETF TRUST,117.8000,118.2500,117.1000,117.8000
108132,01,20100405,78462F103,SPDR S&P 500 ETF TRUST,118.7600,118.8400,117.9200,118.2500
108132,01,20100406,78462F103,SPDR S&P 500 ETF TRUST,119.0400,119.2500,118.2900,118.4200
108132,01,20100407,78462F103,SPDR S&P 500 ETF TRUST,118.3600,119.3567,117.8100,118.8000
108132,01,20100408,78462F103,SPDR S&P 500 ETF TRUST,118.7725,118.9700,117.6000,117.9500
108132,01,20100409,78462F103,SPDR S&P 500 ETF TRUST,119.5500,119.6000,118.8000,119.0200
108132,01,20100412,78462F103,SPDR S&P 500 ETF TRUST,119.7400,120.0500,119.5600,119.7000
108132,01,20100413,78462F103,SPDR S&P 500 ETF TRUST,119.8300,120.0400,119.0000,119.6200
108132,01,20100414,78462F103,SPDR S&P 500 ETF TRUST,121.1900,121.1900,120.0800,120.2700
108132,01,20100415,78462F103,SPDR S&P 500 ETF TRUST,121.2900,121.5654,120.9500,120.9900
108132,01,20100416,78462F103,SPDR S&P 500 ETF TRUST,119.3600,121.2850,118.7500,120.8600
108132,01,20100419,78462F103,SPDR S&P 500 ETF TRUST,119.8100,119.9300,118.4700,119.0100
108132,01,20100420,78462F103,SPDR S&P 500 ETF TRUST,120.8800,120.9800,119.8710,120.5600
108132,01,20100421,78462F103,SPDR S&P 500 ETF TRUST,120.6600,121.2300,119.9900,120.9500
108132,01,20100422,78462F103,SPDR S&P 500 ETF TRUST,121.0200,121.1700,119.1200,119.8100
108132,01,20100423,78462F103,SPDR S&P 500 ETF TRUST,121.8125,121.8600,120.6300,120.9400
108132,01,20100426,78462F103,SPDR S&P 500 ETF TRUST,121.3500,122.1200,121.2300,121.8500
108132,01,20100427,78462F103,SPDR S&P 500 ETF TRUST,118.4800,121.3346,118.2500,120.6500
108132,01,20100428,78462F103,SPDR S&P 500 ETF TRUST,119.3800,119.6800,118.2700,119.0500
108132,01,20100429,78462F103,SPDR S&P 500 ETF TRUST,120.8575,121.1100,120.0700,120.1000
108132,01,20100430,78462F103,SPDR S&P 500 ETF TRUST,118.8125,121.0100,118.7800,120.8800
108132,01,20100503,78462F103,SPDR S&P 500 ETF TRUST,120.3500,120.6800,119.2000,119.3800
108132,01,20100504,78462F103,SPDR S&P 500 ETF TRUST,117.5200,119.0300,116.9200,119.0100
108132,01,20100505,78462F103,SPDR S&P 500 ETF TRUST,116.8200,117.8000,115.9700,116.5600
108132,01,20100506,78462F103,SPDR S&P 500 ETF TRUST,112.9420,117.0000,105.0000,116.2600
